Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Escaños;Población;Número de mesas;Total censo electoral;Total votantes;Votos válidos;Votos a candidaturas;Votos en blanco;Votos nulos;PSOE;PP;VOX;UP;ERC;Cs;JxCAT;PNV;EH Bildu;MÁS PAÍS-COMP;CUP-PR;CCa-PNC-NC;NA+;BNG;PRC;¡TERUEL EXISTE!;PACMA;RECORTES CERO-GV;PUM+J;MÉS-ESQUERRA;AxSÍ;PCPE;PCTE;GBAI;UPL;PCOE;CpM;EB;ERPV;XAV;AVANT ADELANTE LOS VERDES;VERDES;PH;I.Fem;UIG-SOM-CUIDES;SOMOS REGIÓN;IZQP;AHORA CANARIAS;CONTIGO;CHA;PPSO;EXTREMADURA UNIDA;PDSJE;P-LIB;MAS;UNIDOS SÍ-ACPS-Def;PREPAL;ANDECHA;MDyC;PYLN;FE de las JONS;AUNACV;UNIÓN REGIONALISTA;Canda;FIA;SOLIDARIA;RISA;centrados;DPL;IZAR;C 21;UDT
Castilla - La Mancha          ;45;Toledo                        ;6;687391;926;525752;368619;363474;360813;2661;5145;116282;94378;86049;34837;0;24871;0;0;0;0;0;0;0;0;0;0;2680;556;661;0;0;282;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;5;Ávila                         ;3;158498;357;136717;94793;93496;92741;755;1297;24474;32527;17313;6059;0;6119;0;0;0;0;0;0;0;0;0;0;432;105;102;0;0;0;101;0;0;0;0;0;0;5416;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;9;Burgos                        ;4;357070;733;298989;201664;198971;196345;2626;2693;64182;61228;29579;22058;0;16214;0;0;0;0;0;0;0;0;0;0;1415;645;620;0;0;0;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;24;León                          ;4;463746;729;432073;265711;262679;259969;2710;3032;87896;74672;40884;27478;0;16731;0;0;0;0;0;0;0;0;0;0;1505;178;317;0;0;0;379;0;9588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;34;Palencia                      ;3;162035;324;141321;97038;95788;94773;1015;1250;31847;34195;13816;7746;0;5937;0;0;0;0;0;0;0;0;0;0;582;256;209;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;37;Salamanca                     ;4;331473;684;305536;197673;195170;193188;1982;2503;57481;67715;34929;13608;0;16886;0;0;0;0;0;0;0;0;0;0;964;306;266;0;0;0;196;0;286;0;0;0;0;0;0;0;0;0;0;0;0;0;229;0;0;0;0;0;0;0;322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;40;Segovia                       ;3;153342;319;119492;86451;85039;84034;1005;1412;25233;28057;14569;7901;0;6861;0;0;0;0;0;0;0;0;0;0;462;191;133;0;0;0;67;0;0;173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;38;0;0;0;0;0;0;0;0;0;0;0;0;0;234;0;0;0;0
Castilla y León               ;42;Soria                         ;2;88600;255;76827;47248;46410;45689;721;838;16043;15247;6264;3517;0;2670;0;0;0;0;0;0;0;0;0;0;205;95;95;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;47;Valladolid                    ;5;519851;769;432655;314787;311454;308307;3147;3333;94384;91857;56353;34313;0;26947;0;0;0;0;0;0;0;0;0;0;2088;594;586;0;0;223;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;530;0;0;0;0;0;0;0;0;0
Castilla y León               ;49;Zamora                        ;3;174549;371;168268;101334;99791;98585;1206;1543;32747;33495;17036;7001;0;6835;0;0;0;0;0;0;0;0;0;0;432;129;143;0;0;0;120;0;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña                      ;8;Barcelona                     ;32;5609350;5985;4201151;2942354;2927755;2907298;20457;14599;638319;225645;184715;452482;618909;174124;343931;0;0;41826;179041;0;0;0;0;0;34752;4698;1577;0;0;1509;1587;0;0;0;0;0;0;0;0;0;0;3005;0;0;1178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña                      ;17;Girona                        ;6;761947;834;524978;357801;355702;353395;2307;2099;52723;17449;18489;33710;91932;13869;88060;0;0;0;31703;0;0;0;0;0;3724;508;339;0;0;327;316;0;0;0;0;0;0;0;0;0;0;0;0;0;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña                      ;25;Lleida                        ;4;432866;535;314425;208731;207356;205816;1540;1375;29983;14697;9312;16337;65236;7128;46773;0;0;0;14098;0;0;0;0;0;1521;183;169;0;0;129;126;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
